variant,scenario,cache,wallMs,userSeconds,systemSeconds,maxRssBytes,lintRequests,observedSpawns,nodeStarts,logBytes,exitCode,outcome
candidate,disabled,cold,154.01949999999488,0.15,0.02,99237888,0,1,2,0,0,disabled
candidate,disabled,cold,151.09058300001197,0.15,0.02,98975744,0,1,2,0,0,disabled
old,disabled,cold,146.24070799999754,0.15,0.02,99434496,0,1,2,111,0,disabled
old,disabled,cold,146.60304200000246,0.15,0.02,99483648,0,1,2,111,0,disabled
candidate,disabled,cold,151.96141699998407,0.15,0.02,99123200,0,1,2,0,0,disabled
candidate,disabled,cold,151.34333299999707,0.15,0.02,98992128,0,1,2,0,0,disabled
old,disabled,cold,148.7946660000016,0.15,0.02,99516416,0,1,2,111,0,disabled
old,disabled,cold,147.0498329999973,0.15,0.02,99680256,0,1,2,111,0,disabled
candidate,disabled,cold,147.44270899999538,0.15,0.02,99057664,0,1,2,0,0,disabled
candidate,disabled,cold,153.22345900000073,0.15,0.02,98975744,0,1,2,0,0,disabled
old,disabled,cold,149.2707919999957,0.15,0.02,99549184,0,1,2,111,0,disabled
old,disabled,cold,146.54750000001513,0.15,0.02,99123200,0,1,2,111,0,disabled
candidate,disabled,cold,156.12945899998886,0.15,0.02,99188736,0,1,2,0,0,disabled
candidate,disabled,cold,144.5910000000149,0.15,0.02,99008512,0,1,2,0,0,disabled
old,disabled,cold,145.43566700001247,0.15,0.02,99631104,0,1,2,111,0,disabled
old,disabled,cold,146.46174999998766,0.15,0.02,99155968,0,1,2,111,0,disabled
candidate,disabled,cold,154.68216699999175,0.15,0.02,99090432,0,1,2,0,0,disabled
candidate,disabled,cold,149.89516700000968,0.15,0.02,99106816,0,1,2,0,0,disabled
old,disabled,cold,146.89795799998683,0.15,0.02,99483648,0,1,2,111,0,disabled
old,disabled,cold,145.50866700001643,0.15,0.02,99729408,0,1,2,111,0,disabled
candidate,disabled,cold,145.60016699999687,0.15,0.02,99270656,0,1,2,0,0,disabled
candidate,disabled,cold,138.46420799999032,0.15,0.02,99237888,0,1,2,0,0,disabled
old,disabled,cold,146.41995899999165,0.15,0.02,99614720,0,1,2,111,0,disabled
old,disabled,cold,151.30429200001527,0.15,0.02,99614720,0,1,2,111,0,disabled
candidate,disabled,cold,146.9360839999863,0.15,0.02,99418112,0,1,2,0,0,disabled
candidate,disabled,cold,144.76091599999927,0.15,0.02,99090432,0,1,2,0,0,disabled
old,disabled,cold,145.70787499999278,0.15,0.02,99434496,0,1,2,111,0,disabled
old,disabled,cold,148.91454200001317,0.15,0.02,99368960,0,1,2,111,0,disabled
candidate,disabled,cold,143.76604199997382,0.15,0.02,99221504,0,1,2,0,0,disabled
candidate,disabled,cold,151.38429200000246,0.15,0.02,99057664,0,1,2,0,0,disabled
old,disabled,cold,145.0786669999943,0.15,0.02,99581952,0,1,2,111,0,disabled
old,write,cold,651.1745830000145,0.15,0.02,99844096,1,5,6,114,0,timeout
candidate,write,cold,1892.323915999994,2.43,0.41,478707712,1,5,7,0,0,diagnostic
candidate,write,cold,1863.5309169999964,2.4,0.4,478363648,1,5,7,0,0,diagnostic
old,write,cold,645.8723750000063,0.15,0.02,99794944,1,5,6,114,0,timeout
old,write,cold,648.8926659999997,0.15,0.02,99565568,1,5,6,114,0,timeout
candidate,write,cold,1855.3072499999835,2.4,0.4,475480064,1,5,7,0,0,diagnostic
candidate,write,cold,1875.3173340000212,2.4,0.41,482000896,1,5,7,0,0,diagnostic
old,write,cold,643.0539169999829,0.15,0.02,99827712,1,5,6,114,0,timeout
old,write,cold,645.4166249999835,0.15,0.02,99778560,1,5,6,114,0,timeout
